x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,value,Timestamp
1,2,3,3,2,2,0,2,2,0,0,1,3,1,1,2,3,1,3,0,3,1,3,2,1,1,3,2,2,1,3,2,2,2,0,3,3,0,1,1,1,0,1,2,1,0,3,2,1,3,2,2,3,1,2,0,2,0,3,3,2,0,3,2,0,3,0,3,1,0,2,0,-46.876020023283566,3983
0,0,3,2,1,2,1,1,2,0,2,2,3,3,0,2,3,2,2,2,1,2,1,1,2,2,0,0,1,3,3,2,1,2,1,0,0,3,0,1,3,2,3,1,2,0,1,1,3,3,1,0,3,1,3,1,1,3,0,3,3,3,2,3,0,1,1,3,0,0,3,2,-47.864653063947216,4039
3,2,0,1,2,3,3,3,2,2,3,1,3,0,1,0,1,3,0,2,0,1,2,3,3,2,3,0,0,2,1,1,3,3,1,3,0,3,2,2,1,2,0,1,0,0,2,1,1,2,1,2,0,0,3,0,1,2,2,0,0,0,0,1,1,1,2,0,1,1,0,1,-44.62590305822776,4090
3,2,2,2,0,0,0,2,1,3,3,3,0,3,1,3,1,1,3,0,1,3,2,0,2,1,2,3,3,1,3,0,0,0,2,1,0,0,3,3,3,1,0,1,2,3,2,3,1,1,1,0,0,2,3,2,2,0,1,0,2,3,2,0,3,1,3,2,1,2,3,0,-46.78651173313868,4143
0,3,1,0,0,3,1,1,0,2,2,0,2,3,3,3,1,0,1,1,1,1,1,3,1,0,0,2,3,0,3,2,0,2,2,1,0,0,0,3,3,1,0,2,2,3,3,2,3,2,3,2,3,2,0,1,0,0,2,1,2,1,0,0,1,3,1,0,0,2,0,3,-48.832207534631166,4194
3,3,3,1,3,2,3,0,2,0,1,1,2,0,0,0,0,3,2,2,0,0,2,3,1,1,1,3,0,2,1,3,1,3,2,1,0,3,2,1,2,2,2,1,3,1,0,1,3,3,3,1,0,2,1,1,0,3,0,2,1,1,1,1,0,1,2,2,1,1,3,1,-46.696314471108366,4331
2,3,3,1,0,1,1,0,1,1,0,1,1,1,3,2,3,3,2,0,0,1,1,1,2,0,2,2,3,3,1,3,0,0,0,3,3,3,3,2,2,0,3,3,2,1,0,2,3,0,0,1,1,0,0,2,0,2,3,0,1,2,2,1,1,2,2,3,1,0,0,0,-45.050308316437004,4379
0,0,1,3,0,0,1,2,2,1,2,0,3,2,0,3,0,1,1,0,2,0,2,2,3,2,2,3,2,0,1,3,1,1,2,3,0,1,0,3,3,2,3,0,3,2,2,0,2,2,1,0,1,2,1,0,2,1,0,0,0,1,1,1,0,2,0,1,3,1,1,2,-47.17980484291739,4428
2,0,0,0,1,1,3,1,3,2,2,1,1,1,1,0,1,1,0,3,3,2,2,0,3,1,3,2,1,2,2,3,1,2,1,0,3,2,2,1,1,0,0,2,0,0,3,1,0,3,3,3,1,0,0,3,3,0,2,1,0,3,0,2,2,1,1,2,2,0,1,2,-46.28743323212805,4478
1,0,3,3,1,3,2,3,1,1,3,2,0,2,2,1,1,1,0,3,1,3,1,0,0,3,3,3,0,0,2,2,0,0,3,1,3,0,2,1,1,2,0,1,0,2,1,1,1,1,0,2,3,0,1,1,0,1,3,1,2,0,2,2,2,2,2,3,0,3,3,1,-45.255602234756694,4531
2,3,3,1,0,3,1,3,3,0,1,1,0,1,0,2,1,1,2,0,3,0,2,1,2,2,2,1,3,1,2,2,3,2,2,2,1,1,0,0,1,3,2,2,0,0,2,0,1,1,2,3,1,2,2,2,0,2,1,1,3,3,3,3,2,2,1,2,1,1,1,2,-48.25722353451659,4584
3,3,2,0,1,1,1,0,1,0,2,0,3,1,1,0,3,1,0,0,0,1,1,3,1,2,3,1,1,1,2,0,0,2,0,2,3,1,2,3,2,0,0,0,2,3,1,1,0,0,1,3,1,3,3,3,1,2,1,2,2,1,0,3,2,2,3,2,2,2,1,3,-46.473019285098296,4635
2,0,3,0,2,0,2,3,0,0,2,3,2,1,2,0,1,0,0,1,1,1,3,0,3,3,3,1,1,2,0,2,0,0,2,1,1,1,3,3,2,2,2,2,2,2,1,0,2,1,0,2,0,1,2,3,0,0,2,3,0,0,3,2,1,0,0,0,0,3,1,2,-58.133422712131,4685
2,1,2,1,3,3,2,3,3,2,1,0,2,2,1,2,3,3,2,2,0,2,3,1,3,3,3,3,1,3,2,1,3,1,1,1,0,0,1,3,1,1,3,1,1,2,2,0,1,2,2,2,1,2,3,0,0,3,3,0,3,3,1,3,0,0,0,1,2,2,1,1,-48.281341915773424,4814
0,0,1,2,3,1,3,0,1,3,1,2,0,3,3,2,1,1,3,0,2,1,2,1,3,1,3,2,0,1,3,1,0,1,1,1,1,2,1,2,2,2,0,3,1,1,0,2,0,1,3,0,0,2,2,0,1,0,1,1,0,1,3,3,1,0,3,0,1,3,3,1,-47.92788704630391,4867
1,0,0,2,0,3,1,3,0,1,2,1,2,2,1,0,0,3,1,0,3,1,1,2,3,1,0,3,3,3,0,1,0,3,2,2,3,0,3,1,2,3,3,1,3,1,2,0,3,0,0,1,3,1,3,1,3,0,1,2,0,0,2,1,2,3,2,2,2,0,1,3,-48.54755177420366,4918
